diagnostic nucleotide changes	diagnostic nucleotide change	change
Diagnostic tests	diagnostic test	test
diagnostic value of Xgwm469	diagnostic value of Xgwm469	value
DIC accession	DIC accession	accession
DIC allele	DIC allele	allele
DIC alleles	DIC allele	allele
DIC	DIC	DIC
dichlorophenoxyacetic acid	dichlorophenoxyacetic acid	acid
different accession of Ae	different accession of Ae	accession
different alleles	different allele	allele
different areas	different area	area
different BC1F3 progenies	different BC1F3 progeny	progeny
different Canada Prairie Spring	different Canada Prairie Spring	Spring
different chromosomes	different chromosome	chromosome
different combinations of beneficial donor	different combination of beneficial donor	combination
different crop species	different crop species	species
different cytogenetic stocks	different cytogenetic stock	stock
different FHB resistance loci	different FHB resistance locus	locus
different food products	different food product	product
different genes	different gene	gene
different genetic backgrounds	different genetic background	background
different Glu	different Glu	Glu
different groups of Bipolaris sorokiniana	different group of Bipolaris_sorokiniana	group
different hybrid combinations	different hybrid combination	combination
Differential chromosome number	differential chromosome number	number
differential display technique	differential display technique	technique
differential loss of low frequency alleles	differential loss of low frequency allele	loss
different interpretations of infection types	different interpretation of infection type	interpretation
different Italian locations	different Italian location	location
different leaf rust	different leaf rust	rust
different lines	different line	line
different Lr gene	different Lr gene	gene
different marker applications	different marker application	application
different percentage of participation	different percentage of participation	percentage
different polymerase chain reaction	different polymerase chain reaction	reaction
different polymorphism	different polymorphism	polymorphism
different regions	different region	region
different regions of rye chromosome 1R	different region of rye chromosome 1R	region
different rye chromosomes	different rye chromosome	chromosome
different selection criteria	different selection criterion	criterion
different sizes	different size	size
different soil	different soil	soil
different traits	different trait	trait
different wheat chromosomes	different wheat chromosome	chromosome
difficulties	difficulty	difficulty
digestion	digestion	digestion
dihaploid lines	dihaploid line	line
Dihaploid wheat lines selection	Dihaploid wheat line selection	selection
DI loci	DI locus	locus
dimorphism	dimorphism	dimorphism
diploid ancestor of common wheat	diploid ancestor of common_wheat	ancestor
diploid relative of wheat	diploid relative of wheat	relative
diploid wheat species	diploid wheat species	species
direction	direction	direction
direct parent	direct parent	parent
discriminate LMW	discriminate LMW	LMW
discriminate protein alleles Glu	discriminate protein allele Glu	Glu
discrimination of alleles	discrimination of allele	discrimination
Discrimination of these alleles	discrimination of these allele	discrimination
discrimination of Wx	discrimination of Wx	discrimination
disease development	disease development	development
Disease phenotyping	disease phenotyping	phenotyping
disease progress curve	disease progress curve	curve
disease resistance	disease resistance	resistance
disease resistant wheat cultivar	disease resistant wheat cultivar	cultivar
disease severity	disease severity	severity
Disease severity	disease severity	severity
disomic addition line to wheat	disomic addition line to wheat	line
dispersal	dispersal	dispersal
dissimilar genotypes	dissimilar genotype	genotype
distal end	distal end	end
distal locus	distal locus	locus
distal position of chromosome arm 4DS	distal position of chromosome arm 4DS	position
distal region	distal region	region
distal region of chromosome	distal region of chromosome	region
distal regions of 7AL	distal region of 7AL	region
distal segment	distal segment	segment
distal side	distal side	side
distance estimates	distance estimate	estimate
distant species	distant species	species
distinct endopeptidase zymograms	distinct endopeptidase zymograms	zymograms
distinct F2 lineage	distinct F2 lineage	lineage
distinct markers	distinct marker	marker
distinguished lines	distinguish line	line
distribution	distribution	distribution
ditelocentric stocks	ditelocentric stock	stock
ditelosomic line 2AS of Chinese Spring	ditelosomic line 2AS of Chinese spring	2AS
ditelosomic line 7AS	ditelosomic line 7AS	7AS
ditelosomic lines of common wheat	ditelosomic line of common_wheat	line
Diuraphis noxia Mordvilko	Diuraphis_noxia Mordvilko	Mordvilko
diverse genetic background	diverse genetic background	background
diverse genotypes	diverse genotype	genotype
diverse germplasm	diverse germplasm	germplasm
diverse origins	diverse origin	origin
diverse panel of wheat genotypes	diverse panel of wheat genotype	panel
diverse population	diverse population	population
diverse wheat breeding	diverse wheat breeding	breeding
diverse wheat germplasm	diverse wheat germplasm	germplasm
Diversity Arrays Technology	Diversity Arrays Technology	Technology
diversity	diversity	diversity
Dlb specific markers	Dlb specific marker	marker
Dl specific marker	Dl specific marker	marker
Dn2	Dn2	Dn2
DNA analyses of wheat group 5 nullisomic	DNA analysis of wheat group 5 nullisomic	nullisomic
DNA bulks	DNA bulk	bulk
DNA concentration	DNA concentration	concentration
DNA extraction	DNA extraction	extraction
DNA marker	DNA marker	marker
DNA marker polymorphism	DNA marker polymorphism	polymorphism
DNA marker(s)	DNA marker(s)	marker(s)
DNA marker technology	DNA marker technology	technology
DNA molecule	DNA molecule	molecule
DNA polymorphisms	DNA polymorphism	polymorphism
DNA pool	DNA pool	pool
DNAs	DNAs	DNAs
DNA sequence similarities	DNA sequence similarity	similarity
domesticated tetraploid wheat	domesticate tetraploid wheat	wheat
dominant fashion	dominant fashion	fashion
dominant gene (chi(2)=	dominant gene (chi(2)=	(chi(2)=
dominant gene Lr24	dominant gene Lr24	Lr24
dominant marker	dominant marker	marker
dominant markers	dominant marker	marker
dominant PCR	dominant PCR	PCR
dominant primer combination	dominant primer combination	combination
dominant SCAR markers	dominant SCAR marker	marker
dominant susceptibility allele	dominant susceptibility allele	allele
dominant Vm	dominant Vm	Vm
DON content	Don content	content
donor genotypes	donor genotype	genotype
donor of Yr5	donor of Yr5	donor
donor parent `Annuello'	donor parent `Annuello'	`Annuello'
donor parent	donor parent	parent
donor parents	donor parent	parent
dosage effect	dosage effect	effect
double cross	double cross	cross
doubled haploid populations of wheat	double haploid population of wheat	population
doubled haploid production	double haploid production	production
doubled haploid technology	double haploid technology	technology
doubled haploid wheat population SW95	double haploid wheat population SW95	SW95
Double homozygotes	double homozygote	homozygote
double point mutations	double point mutation	mutation
double recombinants	double recombinants	recombinants
dough elasticity	dough elasticity	elasticity
dough extensibility	dough extensibility	extensibility
dozen	dozen	dozen
DraI	DraI	DraI
Dr	Dr	Dr
'Dream'	'Dream'	'Dream'
DREB F1R1 fragment	DREB F1R1 fragment	fragment
DREB gene	DREB gene	gene
DREB sequence	DREB sequence	sequence
drought	drought	drought
drought tolerant wheat genotypes	drought tolerant wheat genotype	genotype
DROUGHT TOLERANT WHEAT GENOTYPES	DROUGHT TOLERANT WHEAT GENOTYPES	GENOTYPES
dry weight	dry weight	weight
DS	DS	DS
dull white	dull white	white
durable genetic resistance	durable genetic resistance	resistance
durable resistance to pathogens	durable resistance to pathogen	resistance
durum wheat cultivar 'Golden Ball'	durum_wheat cultivar 'Golden Ball'	Ball'
durum wheat cultivar Svevo	durum_wheat cultivar Svevo	Svevo
durum wheat polymorphic allelic variants	durum_wheat polymorphic allelic variant	variant
durum wheats	durum wheat	wheat
durum wheat transformation	durum_wheat transformation	transformation
durum wheat varieties	durum_wheat variety	variety
Dwarf bunt of wheat	dwarf bunt of wheat	bunt
dwarfing gene	dwarf gene	gene
dwarfing gene Rht	dwarf gene Rht	Rht
Dx5	Dx5	Dx5
Dy10	Dy10	Dy10
E37M49	E37M49	E37M49
earliness	earliness	earliness
east Asia	east Asia	Asia
eastern Asia	eastern Asia	Asia
economical way	economical way	way
economic analysis of a targeted marker	economic analysis of a targeted marker	analysis
economic efficiency of a specific breeding strategy	economic efficiency of a specific breeding strategy	efficiency
economic value of wheat grain	economic value of wheat grain	value
effective alien genes Lr9	effective alien gene Lr9	Lr9
effective genes	effective gene	gene
effective genotyping methods	effective genotyping method	method
effective genotyping techniques	effective genotyping technique	technique
effective marker	effective marker	marker
effective means	effective mean	mean
effectiveness of these microsatellite markers	effectiveness of these microsatellite marker	effectiveness
effective resistance gene	effective resistance gene	gene
effective way	effective way	way
efficacy of putative microsatellite single sequence repeat	efficacy of putative microsatellite single sequence repeat	efficacy
Efficiency	efficiency	efficiency
efficiency of pedigree line selection	efficiency of pedigree line selection	efficiency
efficiency of plant transformation	efficiency of plant transformation	efficiency
efficient alternative to standard procedures	efficient alternative to standard procedure	alternative
efficient approach	efficient approach	approach
efficient assay method	efficient assay method	method
efficient detection	efficient detection	detection
efficient DNA extraction technologies	efficient DNA extraction technology	technology
efficient introgression of crossability	efficient introgression of crossability	introgression
efficient isolation of plant DNA	efficient isolation of plant DNA	isolation
efficient marker	efficient marker	marker
efficient markers	efficient marker	marker
efficient modern method	efficient modern method	method
efficient molecular discrimination of Pm12	efficient molecular discrimination of Pm12	discrimination
efficient selection method	efficient selection method	method
Efficient transformation of wheat	efficient transformation of wheat	transformation
efficient way	efficient way	way
Egypt	Egypt	Egypt
elasticity	elasticity	elasticity
election	election	election
eleven genotypes	eleven genotype	genotype
Eleven wheat	eleven wheat	wheat
elimination	elimination	elimination
ELISA test	ELISA test	test
elite Australian cultivar `Stylet'	elite Australian cultivar `Stylet'	`Stylet'
elite breeding lines	elite breeding line	line
elite cultivars	elite cultivar	cultivar
elite	elite	elite
elite line Miangyang	elite line Miangyang	Miangyang
elite pedigrees	elite pedigree	pedigree
elite wheat breeding populations	elite wheat breeding population	population
elite wheat cultivar 'Yang158'	elite wheat cultivar 'Yang158'	'Yang158'
elite wheat germplasm	elite wheat germplasm	germplasm
elite wheat varieties	elite wheat variety	variety
Elsevier B	Elsevier B	B
Elsevier Ltd.	Elsevier Ltd.	Ltd.
Ember	Ember	Ember
embryogenic potential	embryogenic potential	potential
embryo propagation	embryo propagation	propagation
Em	Em	Em
emergence of high throughput technologies	emergence of high throughput technology	emergence
emerging disease	emerge disease	disease
emphasis	emphasis	emphasis
empirical optimization of this method	empirical optimization of this method	optimization
Encore	Encore	Encore
endopeptidase marker Ep	endopeptidase marker Ep	Ep
endosperm proteins	endosperm protein	protein
Endosperm texture	endosperm texture	texture
ends	end	end
end use quality	end use quality	quality
Enia	Enia	Enia
enriched DNA	enrich DNA	DNA
enrichment	enrichment	enrichment
entire scenario of biological sciences	entire scenario of biological science	scenario
environmental conditions	environmental condition	condition
environmental effect	environmental effect	effect
environment interactions	environment interaction	interaction
environments	environment	environment
enzyme activity of polyphenol oxidase	enzyme activity of polyphenol oxidase	activity
Ep	Ep	Ep
Epidemiological field controls	epidemiological field control	control
equal interval	equal interval	interval
ER	ER	ER
Erysiphe graminis DC	Erysiphe_graminis DC	DC
Erysiphe graminis DM	Erysiphe_graminis DM	DM
Erysiphe graminis f.sp. tritici	Erysiphe_graminis_f.sp._tritici	Erysiphe_graminis_f.sp._tritici
Escherichia coli phosphomannose isomerase	Escherichia_coli phosphomannose isomerase	isomerase
establishment	establishment	establishment
establishment of a multiplex PCR assay	establishment of a multiplex PCR assay	establishment
Establishment of DNA markers	establishment of DNA marker	establishment
establishment of extreme NILs	establishment of extreme Nils	establishment
EST	EST	EST
Estimated transgene copies	estimated transgene copy	copy
estimation	estimation	estimation
estimation of genetic diversity	estimation of genetic diversity	estimation
EST loci	EST locus	locus
ESTs	ESTs	ESTs
Euglena gracilis	Euglena_gracilis	Euglena_gracilis
Eureka	Eureka	Eureka
Euro	Euro	Euro
European	European	European
European pathotypes of P. recondita f. sp. tritici	European pathotypes of P._recondita f. sp. tritici	pathotypes
European sources	European source	source
European winter wheat	European winter wheat	wheat
Europe	Europe	Europe
Evaluation of leaf rust resistance genes	evaluation of leaf rust resistance gene	evaluation
Evaluation of specified omega	evaluation of specified omega	evaluation
evaluation of stem solidness	evaluation of stem solidness	evaluation
Evaluation of TaGSK1 gene expression	evaluation of TaGSK1 gene expression	evaluation
evidence	evidence	evidence
evolution of hexaploid wheat	evolution of hexaploid wheat	evolution
evs	evs	evs
examination	examination	examination
excellent marker	excellent marker	marker
excellent quantitative FHB resistance	excellent quantitative FHB resistance	resistance
excellent source of resistance	excellent source of resistance	source
exception	exception	exception
exceptions	exception	exception
exceptions of SRAP diversity estimates	exception of SRAP diversity estimate	exception
existing screening	existing screening	screening
existing T. tauschii map	existing T._tauschii map	map
exon	exon	exon
exons	exon	exon
Expansion of PCR	expansion of PCR	expansion
expected frequencies	expect frequency	frequency
expected Mendelian frequencies	expect Mendelian frequency	frequency
expected ratio	expect ratio	ratio
expected recombination frequency	expect recombination frequency	frequency
expected retention of wheat alleles	expect retention of wheat allele	retention
expensive assays	expensive assay	assay
experiences	experience	experience
experimental validation	experimental validation	validation
experiment	experiment	experiment
explanation	explanation	explanation
export quarantines	export quarantine	quarantine
expressed 1Dy10 HMW glutenin subunit transgenes	express 1Dy10 HMW glutenin subunit transgene	transgene
Expressed sequenced tags	express sequenced tag	tag
expressed sequence tag	express sequence tag	tag
expressed sequence tags	express sequence tag	tag
expression	expression	expression
extracted DNA samples	extract DNA sample	sample
extremes	extreme	extreme
F1	F1	F1
F1 generations	F1 generation	generation
F1 hybrids	F1 hybrid	hybrid
F1R1 yields	F1R1 yield	yield
F2 generation	F2 generation	generation
F2 mapping population	F2 mapping population	population
F2 plants	F2 plants	plants
F2 population mapping population	F2 population mapping population	population
F2 population of wheat	F2 population of wheat	population
F2 progeny	F2 progeny	progeny
F2R2	F2R2	F2R2
F2 resistance evaluation data	F2 resistance evaluation datum	datum
F3 families	F3 family	family
F3 lines	F3 line	line
F3R3	F3R3	F3R3
F4	F4	F4
F4 lines	F4 line	line
F 4 progenies	F 4 progeny	progeny
F5	F5	F5
F7 recombinant inbred lines	F7 recombinant inbred line	line
F7 RIL population	F7 RIL population	population
FACILITATED ANALYSIS	FACILITATED Analysis	Analysis
factor form density	factor form density	density
facts	fact	fact
failure of expression	failure of expression	failure
fall	fall	fall
families of base population	family of base population	family
famous Australian wheat breeder	famous Australian wheat breeder	breeder
Fang	Fang	Fang
favourable glutenin	favourable glutenin	glutenin
feasibility	feasibility	feasibility
feasibility of isolating genes	feasibility of isolating gene	feasibility
feasibility of marker	feasibility of marker	feasibility
female parent	female parent	parent
Ferrand	Ferrand	Ferrand
fertilization	fertilization	fertilization
few lines	few line	line
FFD	FFD	FFD
F. graminearum	F._graminearum	F._graminearum
FHB breeding strategies	FHB breeding strategy	strategy
FHB rating	FHB rating	rating
FHB reaction	FHB reaction	reaction
FHB resistance donor	FHB resistance donor	donor
FHB resistance QTLs	FHB resistance QTLs	QTLs
FHB resistance quantitative trait loci	FHB resistance quantitative trait locus	locus
FHB severity	FHB severity	severity
FHB susceptibility	FHB susceptibility	susceptibility
FHB symptoms	FHB symptom	symptom
field cultivation	field cultivation	cultivation
Field evaluation results	field evaluation result	result
field experiment	field experiment	experiment
field experiments	field experiment	experiment
field inoculation studies	field inoculation study	study
field nurseries	field nursery	nursery
field production	field production	production
field program	field program	program
Field results	field result	result
field studies	field study	study
finding	finding	finding
Fine Mapping	Fine Mapping	Mapping
first accesses	first access	access
first few generations	first few generation	generation
first insight	first insight	insight
first phase of selection corresponding chromosomes	first phase of selection corresponding chromosome	phase
first step	first step	step
first Swedish field release of a genetically modified microorganism	first Swedish field release of a genetically modify microorganism	release
first time	first time	time
first variant	first variant	variant
Flanking markers	flank marker	marker
flanking sequence	flank sequence	sequence
Flaveria trinervia	Flaveria_trinervia	Flaveria_trinervia
flexible detection of ISBP	flexible detection of ISBP	detection
flower	flower	flower
fluorescence	fluorescence	fluorescence
fluorographs	fluorographs	fluorographs
following pre	follow pre	pre
foreground selection	foreground selection	selection
foreign genotype	foreign genotype	genotype
format	format	format
form of wheat	form of wheat	form
forms of domesticated tetraploid wheat	form of domesticate tetraploid wheat	form
Forno showed repulsion linkage	Forno show repulsion linkage	linkage
Forty	forty	forty
foundation	foundation	foundation
Fourteen genotypes	fourteen genotype	genotype
fragment bands	fragment band	band
fragment of a putative ATP binding cassette	fragment of a putative ATP binding cassette	fragment
Fragments size	fragment size	size
frame insertion	frame insertion	insertion
France	France	France
free transgenic wheat plants	free transgenic wheat plants	plants
Frequency distributions	frequency distribution	distribution
frequency of univalents	frequency of univalents	frequency
fresh challenges CIMMYT	fresh challenge CIMMYT	CIMMYT
fresh competent cells of Escherichia coli strain DH5alpha RAPD analysis	fresh competent cell of Escherichia_coli strain DH5alpha RAPD analysis	cell
fresh weight	fresh weight	weight
friabilin detection	friabilin detection	detection
friabilin	friabilin	friabilin
Fron	Fron	Fron
Frontana	Frontana	Frontana
fructose	fructose	fructose
FSD	FSD	FSD
f. sp. tritici Eriks	f. sp. tritici Eriks	Eriks
f. sp. tritici Marchal	f. sp. tritici Marchal	Marchal
full length	full length	length
functional genomics	functional genomics	genomics
functional marker YP7A	functional marker YP7A	YP7A
function	function	function
fungus Mycosphaerella graminicola	fungus Mycosphaerella_graminicola	Mycosphaerella_graminicola
Fusarium graminearum	Fusarium_graminearum	Fusarium_graminearum
fusarium head blight resistance	fusarium head blight resistance	resistance
Fusarium pseudograminearum	Fusarium_pseudograminearum	Fusarium_pseudograminearum
Fusarium species	Fusarium species	species
Fusarium sp.	Fusarium_sp.	Fusarium_sp.
Fusarium spread	Fusarium spread	spread
future directions	future direction	direction
future expansion	future expansion	expansion
future of molecular genotyping	future of molecular genotyping	future
future physical mapping studies	future physical mapping study	study
future possibilities	future possibility	possibility
future prospects of this emerging technology	future prospect of this emerge technology	prospect
future strain identification	future strain identification	identification
'G16	'G16	'G16
gag	gag	gag
Gala	Gala	Gala
Galahad	Galahad	Galahad
gametes	gamete	gamete
gaps	gap	gap
GB disomic substitution	GB disomic substitution	substitution
GB DS line	GB DS line	line
GB DS lines	GB DS line	line
GB	GB	GB
GBSS 4A locus	GBSS 4A locus	locus
GenBank Accession Numbers AY596268	GenBank accession Numbers AY596268	AY596268
gene clusters	gene cluster	cluster
gene combinations	gene combination	combination
gene combinations Lr9	gene combination Lr9	Lr9
gene flow	gene flow	flow
gene Lr19	gene Lr19	Lr19
Gene Lr19	Gene Lr19	Lr19
gene Lr24	gene Lr24	Lr24
gene Lr48	gene Lr48	Lr48
gene migration	gene migration	migration
gene Pm22	gene Pm22	Pm22
gene Pm24	gene Pm24	Pm24
gene product level	gene product level	level
general	general	general
general lack of marker polymorphism	general lack of marker polymorphism	polymorphism
generated DNA markers	generate DNA marker	marker
generated SSRs	generate SSRs	SSRs
generation screens	generation screen	screen
generations of wheat	generation of wheat	generation
gene resistance	gene resistance	resistance
genes conferred resistance to stripe rust	gene confer resistance to stripe rust	resistance
gene(s) controlling grain protein content	gene(s) controlling grain protein content	content
genes Lr9	gene Lr9	Lr9
Genetic analysis of fertility restoration	genetic analysis of fertility restoration	analysis
Genetic analysis of grain protein content	genetic analysis of grain protein content	analysis
genetic background of substitution lines	genetic background of substitution line	background
genetic base	genetic base	base
genetic basis	genetic basis	basis
genetic characterization	genetic characterization	characterization
genetic correlation studies showed positive correlations	genetic correlation study show positive correlation	correlation
genetic distance estimates	genetic distance estimate	estimate
genetic distances	genetic distance	distance
genetic diversity estimates	genetic diversity estimate	estimate
Genetic diversity	genetic diversity	diversity
genetic diversity of wheat genotypes	genetic diversity of wheat genotype	diversity
genetic engineering of monocots	genetic engineering of monocots	engineering
genetic fingerprints	genetic fingerprint	fingerprint
genetic gain	genetic gain	gain
genetic improvement	genetic improvement	improvement
Genetic improvement	genetic improvement	improvement
genetic interval	genetic interval	interval
genetic manipulation	genetic manipulation	manipulation
Genetic marker assisted selection	genetic marker assist selection	selection
genetic marker of rye translocation T1BL	genetic marker of rye translocation T1BL	marker
genetic markers	genetic marker	marker
genetic potential of specific genotypes	genetic potential of specific genotype	potential
genetic relationship	genetic relationship	relationship
Genetic relationships	genetic relationship	relationship
genetic resources	genetic resource	resource
genetics	genetics	genetics
Genetic similarities	genetic similarity	similarity
genetic similarity	genetic similarity	similarity
genetics of FHB resistance	genetics of FHB resistance	genetics
genetic sources of resistance	genetic source of resistance	source
Genetic stocks	genetic stock	stock
genetic stocks of wheat cultivar Chinese Spring viz	genetic stock of wheat cultivar Chinese Spring viz	stock
genetic studies	genetic study	study
genetic study	genetic study	study
genetic variability	genetic variability	variability
gene transfer	gene transfer	transfer
gene ym4	gene ym4	ym4
gene Yr26	gene Yr26	Yr26
Genome	genome	genome
genome of bread wheat	genome of bread_wheat	genome
genome of cultivated wheats	genome of cultivate wheat	genome
genome of wheat	genome of wheat	genome
genomes AABBDD	genome AABBDD	AABBDD
genomes AABB	genome AABB	AABB
genomes AA	genome AA	AA
genomes A(m)A(m))	genome A(m)A(m))	A(m)A(m))
genome saturation	genome saturation	saturation
genome SNPs	genome SNPs	SNPs
Genomic analysis	Genomic analysis	analysis
genomic diversity of wheat	genomic diversity of wheat	diversity
genomic DNA fragment	genomic DNA fragment	fragment
genomic DNA	genomic DNA	DNA
Genomic DNA	Genomic DNA	DNA
genomic DNA of resistant plant	genomic DNA of resistant plant	DNA
GENOMIC DNA SEGMENT CARRYING	GENOMIC DNA SEGMENT CARRYING	CARRYING
genomic fragment	genomic fragment	fragment
genomic location of Lr46	genomic location of Lr46	location
genomic locations	genomic location	location
genomic segments	genomic segment	segment
genomic sequences	genomic sequence	sequence
genomics	genomics	genomics
genomic SSR primer pairs	genomic SSR primer pair	pair
genomic studies	genomic study	study
genotype Chinese Spring	genotype Chinese Spring	Spring
genotyped	genotyped	genotyped
genotype of F	genotype of F	genotype
genotype PH	genotype PH	PH
genotype RS111	genotype RS111	RS111
genotype Rye Selection111	genotype Rye Selection111	Selection111
genotypes Arkan	genotype Arkan	Arkan
Genotypes	genotype	genotype
genotype WL711	genotype WL711	WL711
genotypic coefficient of variation	genotypic coefficient of variation	coefficient
genotypic hardness	genotypic hardness	hardness
genotypic selection	genotypic selection	selection
genotypic softness	genotypic softness	softness
genotyping data	genotyping datum	datum
Genotyping	Genotyping	Genotyping
genotyping wheat	genotyping wheat	wheat
genuine parent stock of 'Sunstar*6	genuine parent stock of 'Sunstar*6	stock
geographic distribution	geographic distribution	distribution
German spring wheat varieties	German spring wheat variety	variety
germination characteristic	germination characteristic	characteristic
Germination characteristics	germination characteristic	characteristic
germination percentage	germination percentage	percentage
germination speed	germination speed	speed
germplasm collection	germplasm collection	collection
germplasm collection of spring	germplasm collection of spring	collection
germplasm collections	germplasm collection	collection
germplasm enhancement	germplasm enhancement	enhancement
Germplasm Enhancement Program	Germplasm enhancement program	program
gfp	gfp	gfp
g grain	g grain	grain
gibberellin	gibberellin	gibberellin
GLC	GLC	GLC
gliadin block Gld IB3	gliadin block Gld IB3	IB3
gliadins DNA markers	gliadin DNA marker	marker
gliadin spectra	gliadin spectra	spectra
Glu1D	Glu1D	Glu1D
Glucose	glucose	glucose
GLU	GLU	GLU
Glupro	Glupro	Glupro
GLUTENIN BX17 SUBUNIT	GLUTENIN BX17 SUBUNIT	SUBUNIT
glutenin clone	glutenin clone	clone
glutenin gene	glutenin gene	gene
Glutenin	Glutenin	Glutenin
glutenin loci	glutenin locus	locus
glutenin quality	glutenin quality	quality
glutenins	glutenins	glutenins
glutenin subunit composition	glutenin subunit composition	composition
Glutenin subunit screening	Glutenin subunit screening	screening
gluten strength	gluten strength	strength
GMENDEL computer programs	GMENDEL computer program	program
GMM cells	GMM cell	cell
GMM	GMM	GMM
Golden Ball disomic substitution lines	Golden Ball disomic substitution line	line
good breadmaking characteristics	good breadmaking characteristic	characteristic
good breadmaking quality	good breadmaking quality	quality
good level of Fusarium head blight	good level of Fusarium head blight	level
good resistance to powdery mildew	good resistance to powdery mildew	resistance
gov	Gov	Gov
Gpc	Gpc	Gpc
grained wheat breeders	grain wheat breeder	breeder
grained wheat breeding	grain wheat breeding	breeding
grain industry	grain industry	industry
grain PPO activity	grain PPO activity	activity
Grain protein concentration	grain protein concentration	concentration
grain protein content gene Gpc	grain protein content gene Gpc	Gpc
Grain protein content	grain protein content	content
grain protein genes Glu	grain protein gene Glu	Glu
grain quality factors of wheat	grain quality factor of wheat	factor
grain softness	grain softness	softness
grain traits	grain trait	trait
grain weight	grain weight	weight
grain yield alleles	grain yield allele	allele
grain yield assessment	grain yield assessment	assessment
grain YP content	grain YP content	content
Grandel	Grandel	Grandel
gray cottony growth	gray cottony growth	growth
greater coleoptile elongation	great coleoptile elongation	elongation
greater coleoptile length	great coleoptile length	length
greater durability	great durability	durability
greater emergence capacity	great emergence capacity	capacity
Great Plains region	Great Plains region	region
great value	great value	value
green fluorescent protein	green fluorescent protein	protein
greenhouse conditions	greenhouse condition	condition
greenhouse experiment	greenhouse experiment	experiment
greenish black	greenish black	black
Green Revolution genes	Green Revolution gene	gene
Greif	Greif	Greif
group of Iranian wheat cultivars	group of Iranian wheat cultivar	group
growth habit	growth habit	habit
Growth habit	growth habit	habit
growth pattern	growth pattern	pattern
growth rate	growth rate	rate
growth seasons	growth season	season
GS alleles	GS allele	allele
GSalleles	GSalleles	GSalleles
GW	GW	GW
gwm155	gwm155	gwm155
GWM391	GWM391	GWM391
gwm46	gwm46	gwm46
gwm538 primers	gwm538 primer	primer
gwm538snp	gwm538snp	gwm538snp
gwm644	gwm644	gwm644
GWM674 locus	GWM674 locus	locus
gwm	gwm	gwm
H21 gene	H21 gene	gene
H21 Hessian fly resistance gene	H21 Hessian_fly resistance gene	gene
H21 resistance gene to Hessian fly	H21 resistance gene to Hessian_fly	gene
Ha12 pathotype	Ha12 pathotype	pathotype
Hagberg	Hagberg	Hagberg
hairy peduncle	hairy peduncle	peduncle
hairy penduncles	hairy penduncles	penduncles
Halberd	Halberd	Halberd
half	half	half
'Hamlet'	'Hamlet'	'Hamlet'
Hamlet	Hamlet	Hamlet
Hana	Hana	Hana
Hana variety	Hana variety	variety
hand	hand	hand
haploid plants	haploid plants	plants
haploid population	haploid population	population
haploid populations	haploid population	population
haploid stage	haploid stage	stage
haploid wheat population Cranbrook	haploid wheat population Cranbrook	Cranbrook
haplotype frequencies	haplotype frequency	frequency
haplotype of domesticated tetraploid wheat	haplotype of domesticate tetraploid wheat	haplotype
haplotype pattern	haplotype pattern	pattern
hard red winter cultivar	hard red winter cultivar	cultivar
hard spring wheat	hard spring wheat	wheat
hard winter wheats	hard winter wheat	wheat
Harmankaya99	Harmankaya99	Harmankaya99
harvest index	harvest index	index
H. chilense chromosomes	H._chilense chromosome	chromosome
HD2329	HD2329	HD2329
HD2877	HD2877	HD2877
help of molecular markers	help of molecular marker	help
'Henika'	'Henika'	'Henika'
herbicide bialaphos	herbicide bialaphos	bialaphos
herbicide bispyribac sodium	herbicide bispyribac sodium	sodium
herbicide	herbicide	herbicide
herbicide selection	herbicide selection	selection
herbicides	herbicide	herbicide
Hereward	Hereward	Hereward
Hessian fly biotype L	Hessian_fly biotype L	L
Hessian fly resistance	Hessian_fly resistance	resistance
Heterodera avenae	Heterodera_avenae	Heterodera_avenae
Heterogeneity	heterogeneity	heterogeneity
heterogeneity of Wx	heterogeneity of Wx	heterogeneity
heterozygote genotype	heterozygote genotype	genotype
heterozygotes	heterozygote	heterozygote
heterozygous ones	heterozygous one	one
heterozygous plants	heterozygous plants	plants
hexaploid bread wheat cultivars 'Tremie'	hexaploid bread_wheat cultivar 'Tremie'	'Tremie'
hexaploid wheat germplasm	hexaploid wheat germplasm	germplasm
Hexaploid wheat	Hexaploid wheat	wheat
high baking quality	high bake quality	quality
high bread	high bread	bread
high degree of seedling	high degree of seedling	degree
high density genetic maps of homoeologous wheat chromosomes	high density genetic map of homoeologous wheat chromosome	map
high effect of a resistance	high effect of a resistance	effect
higher cold resistance	high cold resistance	resistance
higher GPC	high GPC	GPC
higher proportion of alleles	high proportion of allele	proportion
high frequency of desired outcomes	high frequency of desire outcome	frequency
high frequency of occurence of HMW glutenin subunits	high frequency of occurence of HMW glutenin subunits	frequency
high genetic variation	high genetic variation	variation
high GPC allele	high GPC allele	allele
high GPC cultivars	high GPC cultivar	cultivar
high GPC DIC QTL	high GPC DIC QTL	QTL
high GPC genotypes	high GPC genotype	genotype
high GPC QTL	high GPC QTL	QTL
high grain protein content	high grain protein content	content
high GW	high GW	GW
High	high	high
high KB resistance	high KB resistance	resistance
high level of polymorphism	high level of polymorphism	level
high level of resistance	high level of resistance	level
high levels of resistance	high level of resistance	level
high molecular weight glutenin subunit characterization	high molecular weight glutenin subunit characterization	characterization
high molecular weight	high molecular weight	weight
high positive coefficient of genotypic corelation	high positive coefficient of genotypic corelation	coefficient
high protein content	high protein content	content
